class,level,time,latitude,longitude
X,2.2,15 February 2011 at 02:00,34.5051,-20.2020
X,1.5,09 March 2011 at 23:24,90.5105,8.86191
X,6.9,09 August 2011 at 08:00,298.117,17.7549
X,2.1,06 September 2011 at 22:24,222.807,15.1348
X,1.8,07 September 2011 at 22:36,223.127,15.3423
X,1.4,22 September 2011 at 11:00,-76.3939,11.9622
X,1.9,24 September 2011 at 09:36,282.165,12.9882
X,1.9,03 November 2011 at 20:24,104.885,19.3876
X,1.7,27 January 2012 at 18:36,206.664,29.5983
X,1.1,05 March 2012 at 04:12,302.342,17.4194
X,5.4,07 March 2012 at 00:24,302.543,17.7157
X,1.3,07 March 2012 at 01:12,302.447,17.7464
X,1.1,06 July 2012 at 23:12,206.932,-16.5821
X,1.4,12 July 2012 at 16:48,87.5377,-17.0275
X,1.8,23 October 2012 at 03:12,112.393,-12.0727
X,2.8,13 May 2013 at 16:00,-65.0298,11.3335
X,3.2,14 May 2013 at 01:12,-65.6660,11.1706
X,1.2,15 May 2013 at 01:48,294.564,11.1142
X,1.0,28 October 2013 at 02:00,30.0583,6.63357
X,2.3,29 October 2013 at 22:00,24.8997,7.41177
X,1.7,25 October 2013 at 08:00,-70.0370,-8.52336
X,2.1,25 October 2013 at 15:00,289.935,-8.59292
X,3.3,05 November 2013 at 22:12,169.607,-10.3330
X,1.1,08 November 2013 at 04:24,169.729,-10.0954
X,1.1,10 November 2013 at 05:12,169.545,-9.96167
X,1.0,19 November 2013 at 10:24,100.154,-14.4022
X,1.2,07 January 2014 at 18:36,98.4100,-10.3736
X,4.9,25 February 2014 at 00:48,112.978,-12.6678
X,1.0,29 March 2014 at 17:48,143.444,8.46053
X,1.3,25 April 2014 at 00:24,193.447,-13.5665
X,2.2,10 June 2014 at 11:48,155.406,-18.3215
X,1.5,10 June 2014 at 12:48,155.303,-18.3236
X,1.0,11 June 2014 at 09:12,153.737,-18.3132
X,1.1,19 October 2014 at 05:00,247.915,-13.0710
X,1.6,22 October 2014 at 14:24,246.896,-12.9808
X,3.1,24 October 2014 at 21:36,246.120,-13.2504
X,1.0,25 October 2014 at 17:12,245.588,-13.3500
X,2.0,26 October 2014 at 11:00,245.030,-13.5461
X,2.0,27 October 2014 at 14:48,244.205,-13.9049
class,level,time,latitude,longitude
class,level,time,latitude,longitude
class,level,time,latitude,longitude
X,2.2,15 February 2011 at 01:56,34.515268,-20.194725
X,1.5,09 March 2011 at 23:23,90.515491,8.860465
X,6.9,09 August 2011 at 08:05,298.237167,17.773766
X,2.1,06 September 2011 at 22:20,222.81055,15.127026
X,2.1,06 September 2011 at 22:20,222.81055,15.127026
X,1.8,07 September 2011 at 22:38,223.146599,15.336155
X,1.4,22 September 2011 at 11:01,283.555215,11.957191
X,1.9,24 September 2011 at 09:40,282.146447,12.973582
X,1.9,03 November 2011 at 20:27,104.863876,19.397532
X,1.7,27 January 2012 at 18:37,206.968026,29.392902
X,1.1,05 March 2012 at 04:09,302.367809,17.415155
X,5.4,07 March 2012 at 00:24,302.552509,17.70697
X,1.3,07 March 2012 at 01:14,302.456747,17.732933
X,1.1,06 July 2012 at 23:08,206.931728,-16.582115
X,1.4,12 July 2012 at 16:49,87.534018,-17.038979
X,1.8,23 October 2012 at 03:17,112.392514,-12.072712
X,2.8,13 May 2013 at 16:05,294.970186,11.333464
X,3.2,14 May 2013 at 01:11,294.315764,11.153473
X,1.2,15 May 2013 at 01:48,294.539284,11.08396
X,1.7,25 October 2013 at 08:01,289.983038,-8.528392
X,2.1,25 October 2013 at 15:03,289.991699,-8.600328
X,1.0,28 October 2013 at 02:03,30.110374,6.625466
X,2.3,29 October 2013 at 21:54,25.559104,7.245504
X,3.3,05 November 2013 at 22:12,169.607155,-10.333011
X,1.1,08 November 2013 at 04:26,169.718802,-10.106459
X,1.1,10 November 2013 at 05:14,169.544584,-9.961666
X,1.0,19 November 2013 at 10:26,100.174502,-14.371105
X,1.2,07 January 2014 at 18:32,98.446646,-10.36766
X,4.9,25 February 2014 at 00:49,113.234017,-12.64129
X,1.0,29 March 2014 at 17:48,143.440243,8.513509
X,1.3,25 April 2014 at 00:27,193.420418,-13.552719
X,2.2,10 June 2014 at 11:42,155.329414,-18.325941
X,1.5,10 June 2014 at 12:52,155.385506,-18.314848
X,1.0,11 June 2014 at 09:06,153.73687,-18.313154
X,1.1,19 October 2014 at 05:03,247.905728,-13.06934
X,1.6,22 October 2014 at 14:28,246.896737,-12.973655
X,3.1,24 October 2014 at 21:41,246.112255,-13.253651
X,1.0,25 October 2014 at 17:08,245.588228,-13.349992
X,2.0,26 October 2014 at 10:56,245.052689,-13.537011
X,2.0,27 October 2014 at 14:47,244.207112,-13.889002
X,1.6,07 November 2014 at 17:26,10.541691,15.777082
X,1.8,20 December 2014 at 00:28,241.326414,-17.509857
X,2.1,11 March 2015 at 16:22,194.406056,-17.269772
X,2.7,05 May 2015 at 22:11,129.991394,12.796647
